,win1_2_mean,win2_2_mean,win1_3_mean,win2_3_mean,win1_4_mean,win2_4_mean,win1_5_mean,win2_5_mean,win1_6_mean,win2_6_mean
0,False,False,False,False,False,False,False,False,False,False
1,True,False,False,False,False,False,False,False,False,False
2,False,True,False,False,False,False,False,False,False,False
3,True,False,False,False,False,False,False,False,False,False
4,True,False,True,False,False,False,False,False,False,False
5,False,True,False,False,False,False,False,False,False,False
6,True,False,False,False,False,False,False,False,False,False
7,False,True,False,False,False,False,False,False,False,False
8,True,False,False,False,False,False,False,False,False,False
9,True,False,True,False,False,False,False,False,False,False
10,False,True,False,False,False,False,False,False,False,False
11,True,False,False,False,False,False,False,False,False,False
12,True,False,True,False,False,False,False,False,False,False
13,False,True,False,False,False,False,False,False,False,False
14,False,True,False,True,False,False,False,False,False,False
15,True,False,False,False,False,False,False,False,False,False
16,False,True,False,False,False,False,False,False,False,False
17,False,True,False,True,False,False,False,False,False,False
18,True,False,False,False,False,False,False,False,False,False
19,True,False,True,False,False,False,False,False,False,False
20,False,True,False,False,False,False,False,False,False,False
21,True,False,False,False,False,False,False,False,False,False
22,True,False,True,False,False,False,False,False,False,False
23,False,True,False,False,False,False,False,False,False,False
24,False,True,False,True,False,False,False,False,False,False
25,False,True,False,True,False,True,False,False,False,False
26,False,True,False,True,False,True,False,True,False,False
27,True,False,False,False,False,False,False,False,False,False
28,True,False,True,False,False,False,False,False,False,False
29,True,False,True,False,True,False,False,False,False,False
30,False,True,False,False,False,False,False,False,False,False
31,False,True,False,True,False,False,False,False,False,False
32,False,True,False,True,False,True,False,False,False,False
33,True,False,False,False,False,False,False,False,False,False
34,True,False,True,False,False,False,False,False,False,False
35,False,True,False,False,False,False,False,False,False,False
36,True,False,False,False,False,False,False,False,False,False
37,False,True,False,False,False,False,False,False,False,False
38,False,True,False,True,False,False,False,False,False,False
39,False,True,False,True,False,True,False,False,False,False
40,True,False,False,False,False,False,False,False,False,False
41,True,False,True,False,False,False,False,False,False,False
42,True,False,True,False,True,False,False,False,False,False
43,False,True,False,False,False,False,False,False,False,False
44,True,False,False,False,False,False,False,False,False,False
45,False,True,False,False,False,False,False,False,False,False
46,True,False,False,False,False,False,False,False,False,False
47,False,True,False,False,False,False,False,False,False,False
48,True,False,False,False,False,False,False,False,False,False
49,True,False,True,False,False,False,False,False,False,False
50,True,False,True,False,True,False,False,False,False,False
51,True,False,True,False,True,False,True,False,False,False
52,False,True,False,False,False,False,False,False,False,False
53,True,False,False,False,False,False,False,False,False,False
54,False,True,False,False,False,False,False,False,False,False
55,True,False,False,False,False,False,False,False,False,False
56,False,True,False,False,False,False,False,False,False,False
57,True,False,False,False,False,False,False,False,False,False
58,False,True,False,False,False,False,False,False,False,False
59,False,True,False,True,False,False,False,False,False,False
60,True,False,False,False,False,False,False,False,False,False
61,True,False,True,False,False,False,False,False,False,False
62,True,False,True,False,True,False,False,False,False,False
63,False,True,False,False,False,False,False,False,False,False
64,False,True,False,True,False,False,False,False,False,False
65,False,True,False,True,False,True,False,False,False,False
66,False,True,False,True,False,True,False,True,False,False
67,True,False,False,False,False,False,False,False,False,False
68,True,False,True,False,False,False,False,False,False,False
69,False,True,False,False,False,False,False,False,False,False
70,False,True,False,True,False,False,False,False,False,False
71,True,False,False,False,False,False,False,False,False,False
72,False,True,False,False,False,False,False,False,False,False
73,False,True,False,True,False,False,False,False,False,False
74,False,True,False,True,False,True,False,False,False,False
75,False,True,False,True,False,True,False,True,False,False
76,False,True,False,True,False,True,False,True,False,True
77,False,True,False,True,False,True,False,True,False,True
78,False,True,False,True,False,True,False,True,False,True
79,False,True,False,True,False,True,False,True,False,True
80,True,False,False,False,False,False,False,False,False,False
81,True,False,True,False,False,False,False,False,False,False
82,False,True,False,False,False,False,False,False,False,False
83,False,True,False,True,False,False,False,False,False,False
84,True,False,False,False,False,False,False,False,False,False
85,True,False,True,False,False,False,False,False,False,False
86,True,False,True,False,True,False,False,False,False,False
87,False,True,False,False,False,False,False,False,False,False
88,False,True,False,True,False,False,False,False,False,False
89,True,False,False,False,False,False,False,False,False,False
90,True,False,True,False,False,False,False,False,False,False
91,True,False,True,False,True,False,False,False,False,False
92,False,True,False,False,False,False,False,False,False,False
93,True,False,False,False,False,False,False,False,False,False
94,False,True,False,False,False,False,False,False,False,False
95,False,True,False,True,False,False,False,False,False,False
96,False,True,False,True,False,True,False,False,False,False
97,False,True,False,True,False,True,False,True,False,False
98,True,False,False,False,False,False,False,False,False,False
99,False,True,False,False,False,False,False,False,False,False
100,True,False,False,False,False,False,False,False,False,False
101,True,False,True,False,False,False,False,False,False,False
102,False,True,False,False,False,False,False,False,False,False
103,True,False,False,False,False,False,False,False,False,False
104,True,False,True,False,False,False,False,False,False,False
105,True,False,True,False,True,False,False,False,False,False
106,False,True,False,False,False,False,False,False,False,False
107,False,True,False,True,False,False,False,False,False,False
108,False,True,False,True,False,True,False,False,False,False
109,True,False,False,False,False,False,False,False,False,False
110,True,False,True,False,False,False,False,False,False,False
111,True,False,True,False,True,False,False,False,False,False
112,False,True,False,False,False,False,False,False,False,False
113,False,True,False,True,False,False,False,False,False,False
114,True,False,False,False,False,False,False,False,False,False
115,True,False,True,False,False,False,False,False,False,False
116,True,False,True,False,True,False,False,False,False,False
117,True,False,True,False,True,False,True,False,False,False
118,True,False,True,False,True,False,True,False,True,False
119,True,False,True,False,True,False,True,False,True,False
120,True,False,True,False,True,False,True,False,True,False
121,True,False,True,False,True,False,True,False,True,False
122,False,True,False,False,False,False,False,False,False,False
123,False,True,False,True,False,False,False,False,False,False
124,False,True,False,True,False,True,False,False,False,False
125,False,True,False,True,False,True,False,True,False,False
126,True,False,False,False,False,False,False,False,False,False
127,False,True,False,False,False,False,False,False,False,False
128,True,False,False,False,False,False,False,False,False,False
129,True,False,True,False,False,False,False,False,False,False
130,False,True,False,False,False,False,False,False,False,False
131,True,False,False,False,False,False,False,False,False,False
132,False,True,False,False,False,False,False,False,False,False
133,False,True,False,True,False,False,False,False,False,False
134,True,False,False,False,False,False,False,False,False,False
135,False,True,False,False,False,False,False,False,False,False
136,False,True,False,True,False,False,False,False,False,False
137,True,False,False,False,False,False,False,False,False,False
138,True,False,True,False,False,False,False,False,False,False
139,True,False,True,False,True,False,False,False,False,False
140,True,False,True,False,True,False,True,False,False,False
141,False,True,False,False,False,False,False,False,False,False
142,True,False,False,False,False,False,False,False,False,False
143,True,False,True,False,False,False,False,False,False,False
144,False,True,False,False,False,False,False,False,False,False
145,False,True,False,True,False,False,False,False,False,False
146,True,False,False,False,False,False,False,False,False,False
147,True,False,True,False,False,False,False,False,False,False
148,False,True,False,False,False,False,False,False,False,False
149,False,True,False,True,False,False,False,False,False,False
150,True,False,False,False,False,False,False,False,False,False
151,True,False,True,False,False,False,False,False,False,False
152,False,True,False,False,False,False,False,False,False,False
153,False,True,False,True,False,False,False,False,False,False
154,False,True,False,True,False,True,False,False,False,False
155,True,False,False,False,False,False,False,False,False,False
156,False,True,False,False,False,False,False,False,False,False
157,True,False,False,False,False,False,False,False,False,False
158,False,True,False,False,False,False,False,False,False,False
159,True,False,False,False,False,False,False,False,False,False
160,True,False,True,False,False,False,False,False,False,False
161,True,False,True,False,True,False,False,False,False,False
162,False,True,False,False,False,False,False,False,False,False
163,False,True,False,True,False,False,False,False,False,False
164,True,False,False,False,False,False,False,False,False,False
165,True,False,True,False,False,False,False,False,False,False
166,False,True,False,False,False,False,False,False,False,False
167,True,False,False,False,False,False,False,False,False,False
168,False,True,False,False,False,False,False,False,False,False
169,False,True,False,True,False,False,False,False,False,False
170,True,False,False,False,False,False,False,False,False,False
171,False,True,False,False,False,False,False,False,False,False
172,False,True,False,True,False,False,False,False,False,False
173,True,False,False,False,False,False,False,False,False,False
174,True,False,True,False,False,False,False,False,False,False
175,False,True,False,False,False,False,False,False,False,False
176,False,True,False,True,False,False,False,False,False,False
177,True,False,False,False,False,False,False,False,False,False
178,True,False,True,False,False,False,False,False,False,False
179,True,False,True,False,True,False,False,False,False,False
180,True,False,True,False,True,False,True,False,False,False
181,False,True,False,False,False,False,False,False,False,False
182,True,False,False,False,False,False,False,False,False,False
183,True,False,True,False,False,False,False,False,False,False
184,True,False,True,False,True,False,False,False,False,False
185,True,False,True,False,True,False,True,False,False,False
186,True,False,True,False,True,False,True,False,True,False
187,False,True,False,False,False,False,False,False,False,False
188,True,False,False,False,False,False,False,False,False,False
189,True,False,True,False,False,False,False,False,False,False
190,False,True,False,False,False,False,False,False,False,False
191,False,True,False,True,False,False,False,False,False,False
192,True,False,False,False,False,False,False,False,False,False
193,False,True,False,False,False,False,False,False,False,False
194,False,True,False,True,False,False,False,False,False,False
195,True,False,False,False,False,False,False,False,False,False
196,True,False,True,False,False,False,False,False,False,False
197,True,False,True,False,True,False,False,False,False,False
198,True,False,True,False,True,False,True,False,False,False
199,False,True,False,False,False,False,False,False,False,False
200,True,False,False,False,False,False,False,False,False,False
201,False,True,False,False,False,False,False,False,False,False
202,True,False,False,False,False,False,False,False,False,False
203,True,False,True,False,False,False,False,False,False,False
204,False,True,False,False,False,False,False,False,False,False
205,False,True,False,True,False,False,False,False,False,False
206,False,True,False,True,False,True,False,False,False,False
207,True,False,False,False,False,False,False,False,False,False
208,True,False,True,False,False,False,False,False,False,False
209,True,False,True,False,True,False,False,False,False,False
210,False,True,False,False,False,False,False,False,False,False
211,True,False,False,False,False,False,False,False,False,False
212,True,False,True,False,False,False,False,False,False,False
213,False,True,False,False,False,False,False,False,False,False
214,False,True,False,True,False,False,False,False,False,False
215,False,True,False,True,False,True,False,False,False,False
216,False,True,False,True,False,True,False,True,False,False
217,True,False,False,False,False,False,False,False,False,False
218,False,True,False,False,False,False,False,False,False,False
219,False,True,False,True,False,False,False,False,False,False
220,True,False,False,False,False,False,False,False,False,False
221,False,True,False,False,False,False,False,False,False,False
222,False,True,False,True,False,False,False,False,False,False
223,False,True,False,True,False,True,False,False,False,False
224,True,False,False,False,False,False,False,False,False,False
225,False,True,False,False,False,False,False,False,False,False
226,False,True,False,True,False,False,False,False,False,False
227,True,False,False,False,False,False,False,False,False,False
228,True,False,True,False,False,False,False,False,False,False
229,True,False,True,False,True,False,False,False,False,False
230,False,True,False,False,False,False,False,False,False,False
231,False,True,False,True,False,False,False,False,False,False
232,True,False,False,False,False,False,False,False,False,False
233,False,True,False,False,False,False,False,False,False,False
234,True,False,False,False,False,False,False,False,False,False
235,True,False,True,False,False,False,False,False,False,False
236,False,True,False,False,False,False,False,False,False,False
237,False,True,False,True,False,False,False,False,False,False
238,True,False,False,False,False,False,False,False,False,False
239,False,True,False,False,False,False,False,False,False,False
240,False,True,False,True,False,False,False,False,False,False
241,True,False,False,False,False,False,False,False,False,False
242,False,True,False,False,False,False,False,False,False,False
243,False,True,False,True,False,False,False,False,False,False
244,False,True,False,True,False,True,False,False,False,False
245,True,False,False,False,False,False,False,False,False,False
246,True,False,True,False,False,False,False,False,False,False
247,True,False,True,False,True,False,False,False,False,False
248,True,False,True,False,True,False,True,False,False,False
249,False,True,False,False,False,False,False,False,False,False
250,True,False,False,False,False,False,False,False,False,False
251,False,True,False,False,False,False,False,False,False,False
252,False,True,False,True,False,False,False,False,False,False
253,True,False,False,False,False,False,False,False,False,False
254,True,False,True,False,False,False,False,False,False,False
255,False,True,False,False,False,False,False,False,False,False
256,False,True,False,True,False,False,False,False,False,False
257,False,True,False,True,False,True,False,False,False,False
258,True,False,False,False,False,False,False,False,False,False
259,True,False,True,False,False,False,False,False,False,False
260,True,False,True,False,True,False,False,False,False,False
261,True,False,True,False,True,False,True,False,False,False
262,True,False,True,False,True,False,True,False,True,False
263,True,False,True,False,True,False,True,False,True,False
264,False,True,False,False,False,False,False,False,False,False
265,True,False,False,False,False,False,False,False,False,False
266,False,True,False,False,False,False,False,False,False,False
267,True,False,False,False,False,False,False,False,False,False
268,True,False,True,False,False,False,False,False,False,False
269,True,False,True,False,True,False,False,False,False,False
270,False,True,False,False,False,False,False,False,False,False
271,True,False,False,False,False,False,False,False,False,False
272,True,False,True,False,False,False,False,False,False,False
273,False,True,False,False,False,False,False,False,False,False
274,True,False,False,False,False,False,False,False,False,False
275,False,True,False,False,False,False,False,False,False,False
276,False,True,False,True,False,False,False,False,False,False
277,False,True,False,True,False,True,False,False,False,False
278,True,False,False,False,False,False,False,False,False,False
279,True,False,True,False,False,False,False,False,False,False
280,False,True,False,False,False,False,False,False,False,False
281,True,False,False,False,False,False,False,False,False,False
282,False,True,False,False,False,False,False,False,False,False
283,False,True,False,True,False,False,False,False,False,False
284,True,False,False,False,False,False,False,False,False,False
285,True,False,True,False,False,False,False,False,False,False
286,False,True,False,False,False,False,False,False,False,False
287,True,False,False,False,False,False,False,False,False,False
288,False,True,False,False,False,False,False,False,False,False
289,True,False,False,False,False,False,False,False,False,False
290,True,False,True,False,False,False,False,False,False,False
291,True,False,True,False,True,False,False,False,False,False
292,False,True,False,False,False,False,False,False,False,False
293,True,False,False,False,False,False,False,False,False,False
294,True,False,True,False,False,False,False,False,False,False
295,False,True,False,False,False,False,False,False,False,False
296,False,True,False,True,False,False,False,False,False,False
297,True,False,False,False,False,False,False,False,False,False
298,True,False,True,False,False,False,False,False,False,False
299,True,False,True,False,True,False,False,False,False,False
