,elapsed_time,set_no,game_no,p1_score,p2_score,winner_shot_type,loser_shot_type,p1_unf_err,p2_unf_err,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner
0,0:00:00,1,1,0,0,backhand winner,,0,0,0,1,0,0,0,0,0,1
1,0:00:22,1,1,0,15,,forehand forced error,0,1,0,0,0,0,0,0,0,0
2,0:01:36,1,1,15,15,,backhand forced error,1,0,0,0,0,0,0,0,0,0
3,0:02:05,1,1,15,30,backhand winner,,0,0,1,0,0,0,0,0,1,0
4,0:03:24,1,1,30,30,,backhand unforced error,0,1,0,0,0,0,0,0,0,0
5,0:03:50,1,1,40,30,,,0,1,0,0,2,0,0,0,0,0
6,0:04:29,1,2,AD?,AD?,,backhand forced error,1,0,0,0,0,0,0,0,0,0
7,0:04:50,1,2,15,0,,forehand forced error,0,1,0,0,0,0,0,0,0,0
8,0:05:17,1,2,15,15,forehand smash winner,,0,0,1,0,0,0,0,0,1,0
9,0:05:51,1,2,15,30,,backhand forced error,0,1,0,0,0,0,0,0,0,0
10,0:06:16,1,2,15,40,,,1,0,0,0,0,0,0,0,0,0
11,0:06:35,1,2,30,40,,,0,1,0,0,0,0,0,0,0,0
12,0:07:15,1,3,AD?,AD?,backhand winner,,0,0,1,0,0,0,0,0,1,0
13,0:07:37,1,3,15,0,,forehand unforced error,1,0,0,0,0,0,0,0,0,0
14,0:08:05,1,3,15,15,,backhand forced error,0,1,0,0,0,0,0,0,0,0
15,0:08:32,1,3,30,15,,forehand unforced error,0,1,0,0,0,0,0,0,0,0
16,0:09:02,1,3,40,15,,backhand forced error,1,0,0,0,0,0,0,0,0,0
17,0:09:36,1,3,40,30,,backhand forced error,1,0,0,0,0,0,0,0,0,0
18,0:10:06,1,3,40,40,,forehand forced error,1,0,0,0,0,0,0,0,0,0
19,0:10:42,1,3,40,AD,,,0,0,0,0,0,0,0,0,0,0
20,0:11:27,1,3,40,40,forehand winner,,0,0,1,0,0,0,0,0,1,0
21,0:11:53,1,3,AD,40,,forehand unforced error,1,0,0,0,0,0,0,0,0,0
22,0:12:12,1,3,40,40,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
23,0:12:59,1,3,40,AD,,,1,0,0,0,0,0,0,0,0,0
24,0:14:43,1,4,AD?,AD?,,forehand unforced error,0,1,0,0,0,0,0,0,0,0
25,0:15:00,1,4,0,15,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
26,0:15:25,1,4,15,15,,forehand unforced error,1,0,0,0,0,0,0,0,0,0
27,0:16:06,1,4,30,15,backhand winner,,0,0,1,0,0,0,0,0,1,0
28,0:17:09,1,4,30,30,,backhand forced error,0,1,0,0,0,0,0,0,0,0
29,0:17:51,1,4,30,40,,,1,0,0,0,0,0,0,0,0,0
30,0:18:48,1,4,40,40,,forehand forced error,0,1,0,0,0,0,0,0,0,0
31,0:19:19,1,4,40,AD,,,1,0,0,0,0,0,0,0,0,0
32,0:19:57,1,4,40,40,backhand winner,,0,0,1,0,0,0,0,0,1,0
33,0:20:52,1,4,40,AD,,,1,0,0,0,0,0,0,0,0,0
34,0:21:14,1,4,40,40,,forehand forced error,0,1,0,0,0,0,0,0,0,0
35,0:21:49,1,4,40,AD,,,1,0,0,0,0,0,0,0,0,0
36,0:22:12,1,4,40,40,backhand volley winner,,0,0,0,1,0,0,0,0,0,1
37,0:22:47,1,4,AD,40,,,1,0,0,0,2,0,0,0,0,0
38,0:23:25,1,5,AD?,AD?,forehand winner,,0,0,1,0,0,0,0,0,1,0
39,0:23:44,1,5,15,0,,forehand forced error,0,1,0,0,0,0,0,0,0,0
40,0:24:30,1,5,30,0,O. Jabeur wins the point with an ace,,0,0,1,0,0,0,1,0,1,0
41,0:24:58,1,5,40,0,forehand winner,,0,0,0,1,0,0,0,0,0,1
42,0:25:26,1,5,40,15,,,0,0,0,0,1,0,0,0,0,0
43,0:27:09,1,6,AD?,AD?,,forehand forced error,0,1,0,0,0,0,0,0,0,0
44,0:27:58,1,6,0,15,,forehand volley unforced error,0,1,0,0,0,0,0,0,0,0
45,0:28:22,1,6,0,30,,backhand unforced error,0,1,0,0,0,0,0,0,0,0
46,0:28:40,1,6,0,40,,,0,1,0,0,0,0,0,0,0,0
47,0:29:12,1,7,AD?,AD?,,backhand forced error,1,0,0,0,0,0,0,0,0,0
48,0:29:45,1,7,0,15,,forehand unforced error,1,0,0,0,0,0,0,0,0,0
49,0:30:03,1,7,0,30,backhand winner,,0,0,0,1,0,0,0,0,0,1
50,0:30:31,1,7,0,40,,,0,0,0,0,0,0,0,0,0,0
51,0:32:08,1,8,AD?,AD?,,backhand forced error,0,1,0,0,0,0,0,0,0,0
52,0:32:53,1,8,0,15,,forehand unforced error,1,0,0,0,0,0,0,0,0,0
53,0:33:23,1,8,15,15,,forehand forced error,1,0,0,0,0,0,0,0,0,0
54,0:34:19,1,8,30,15,,backhand forced error,1,0,0,0,0,0,0,0,0,0
55,0:34:38,1,8,40,15,,,1,0,0,0,2,0,0,0,0,0
56,0:35:03,1,9,AD?,AD?,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
57,0:35:40,1,9,0,15,backhand winner,,0,0,1,0,0,0,0,0,1,0
58,0:36:23,1,9,15,15,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
59,0:36:44,1,9,15,30,,forehand volley unforced error,1,0,0,0,0,0,0,0,0,0
60,0:37:15,1,9,15,40,,,1,0,0,0,0,0,0,0,0,0
61,0:38:50,1,10,AD?,AD?,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
62,0:39:14,1,10,15,0,,forehand forced error,1,0,0,0,0,0,0,0,0,0
63,0:39:44,1,10,30,0,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
64,0:40:12,1,10,40,0,,,1,0,0,0,0,0,0,0,0,0
65,0:43:59,2,1,AD?,AD?,,backhand volley unforced error,1,0,0,0,0,0,0,0,0,0
66,0:44:19,2,1,0,15,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
67,0:44:46,2,1,0,30,backhand winner,,0,0,1,0,0,0,0,0,1,0
68,0:45:24,2,1,15,30,,backhand forced error,0,1,0,0,0,0,0,0,0,0
69,0:45:41,2,1,30,30,,forehand unforced error,1,0,0,0,0,0,0,0,0,0
70,0:46:23,2,1,30,40,,,1,0,0,0,0,0,0,0,0,0
71,0:47:14,2,2,AD?,AD?,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
72,0:47:41,2,2,15,0,forehand winner,,0,0,0,1,0,0,0,0,0,1
73,0:48:03,2,2,30,0,,backhand forced error,1,0,0,0,0,0,0,0,0,0
74,0:48:22,2,2,40,0,,backhand forced error,0,1,0,0,0,0,0,0,0,0
75,0:48:52,2,2,40,15,backhand winner,,0,0,1,0,0,0,0,0,1,0
76,0:49:37,2,2,40,30,forehand winner,,0,0,1,0,0,0,0,0,1,0
77,0:49:59,2,2,40,40,,double fault,0,0,0,0,0,0,0,0,0,0
78,0:50:32,2,2,40,AD,,,1,0,0,0,0,0,0,0,0,0
79,0:50:52,2,2,40,40,forehand winner,,0,0,1,0,0,0,0,0,1,0
80,0:51:33,2,2,40,AD,,,0,1,0,0,0,0,0,0,0,0
81,0:52:19,2,3,AD?,AD?,,forehand forced error,0,1,0,0,0,0,0,0,0,0
82,0:52:53,2,3,15,0,forehand winner,,0,0,1,0,0,0,0,0,1,0
83,0:53:44,2,3,30,0,,backhand forced error,0,1,0,0,0,0,0,0,0,0
84,0:54:19,2,3,40,0,,,0,0,0,0,1,0,0,0,0,0
85,0:56:03,2,4,AD?,AD?,,backhand forced error,1,0,0,0,0,0,0,0,0,0
86,0:56:35,2,4,15,0,backhand winner,,0,0,1,0,0,0,0,0,1,0
87,0:57:09,2,4,15,15,,forehand forced error,0,1,0,0,0,0,0,0,0,0
88,0:57:44,2,4,15,30,backhand winner,,0,0,0,1,0,0,0,0,0,1
89,0:58:27,2,4,30,30,,backhand forced error,0,1,0,0,0,0,0,0,0,0
90,0:59:00,2,4,30,40,,,0,1,0,0,0,0,0,0,0,0
91,0:59:44,2,5,AD?,AD?,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
92,1:00:04,2,5,0,15,,forehand forced error,1,0,0,0,0,0,0,0,0,0
93,1:00:37,2,5,0,30,backhand winner,,0,0,1,0,0,0,0,0,1,0
94,1:01:04,2,5,15,30,,backhand unforced error,0,1,0,0,0,0,0,0,0,0
95,1:01:36,2,5,30,30,,forehand forced error,1,0,0,0,0,0,0,0,0,0
96,1:02:11,2,5,30,40,,,1,0,0,0,0,0,0,0,0,0
97,1:04:12,2,6,AD?,AD?,,forehand unforced error,1,0,0,0,0,0,0,0,0,0
98,1:04:33,2,6,15,0,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
99,1:05:08,2,6,30,0,,double fault,0,0,0,0,0,0,0,0,0,0
100,1:05:37,2,6,30,15,forehand volley winner,,0,0,1,0,0,0,0,0,1,0
101,1:06:43,2,6,30,30,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
102,1:07:25,2,6,40,30,,,1,0,0,0,2,0,0,0,0,0
103,1:08:22,2,7,AD?,AD?,backhand volley winner,,0,0,1,0,0,0,0,0,1,0
104,1:08:58,2,7,15,0,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
105,1:09:35,2,7,15,15,,forehand forced error,1,0,0,0,0,0,0,0,0,0
106,1:10:08,2,7,15,30,,forehand unforced error,0,1,0,0,0,0,0,0,0,0
107,1:10:34,2,7,30,30,service winner,,0,0,1,0,0,0,0,0,1,0
108,1:10:49,2,7,40,30,,,0,0,0,0,1,0,0,0,0,0
109,1:12:23,2,8,AD?,AD?,,backhand forced error,1,0,0,0,0,0,0,0,0,0
110,1:12:47,2,8,15,0,service winner,,0,0,0,1,0,0,0,0,0,1
111,1:13:04,2,8,30,0,,double fault,0,0,0,0,0,0,0,0,0,0
112,1:13:35,2,8,30,15,backhand winner,,0,0,0,1,0,0,0,0,0,1
113,1:13:56,2,8,40,15,,,1,0,0,0,2,0,0,0,0,0
114,1:14:34,2,9,AD?,AD?,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
115,1:14:52,2,9,0,15,forehand smash winner,,0,0,1,0,0,0,0,0,1,0
116,1:15:22,2,9,15,15,,forehand unforced error,1,0,0,0,0,0,0,0,0,0
117,1:15:51,2,9,15,30,forehand volley winner,,0,0,1,0,0,0,0,0,1,0
118,1:16:14,2,9,30,30,,forehand unforced error,1,0,0,0,0,0,0,0,0,0
119,1:16:33,2,9,30,40,,,1,0,0,0,0,0,0,0,0,0
120,1:18:13,2,10,AD?,AD?,,backhand unforced error,1,0,0,0,0,0,0,0,0,0
121,1:18:48,2,10,15,0,,backhand forced error,1,0,0,0,0,0,0,0,0,0
122,1:19:16,2,10,30,0,,forehand forced error,1,0,0,0,0,0,0,0,0,0
123,1:19:57,2,10,40,0,,double fault,0,0,0,0,0,0,0,0,0,0
124,1:20:28,2,10,40,15,,,0,0,0,0,0,0,0,0,0,0
